og_s1,og_s2,new_s1,new_s2,og_label,new_label,remarks
"The search feature works with around 120,000 titles from 190 publishers, which translates into some 33 million pages of searchable text.","The feature, which has the approval of book publishers, puts some 33 million pages of searchable text at the disposal of Amazon.com shoppers.","The search feature works with around 120,000 titles from 190 publishers, which translates into some 33 million pages of searchable text.","The feature, which has the approval of book publishers, puts some 33 million pages of searchable text at the disposal of Amazon.com shoppers.",1,0,can't correct
The dollar rose 0.6 percent to 109.54 yen<JPY=> and climbed more than 1 percent to 1.3315 Swiss francs<CHF=>.,The dollar rose around 0.6 percent against the Japanese currency to 109.51 yen <JPY=> and climbed 1 percent against the Swiss franc to 1.3302 francs <CHF=>.,The dollar rose 0.6 percent to 109.54 yen<JPY=> and climbed more than 1 percent to 1.3315 Swiss francs<CHF=>.,The dollar rose around 0.6 percent against the Japanese currency to 109.51 yen <JPY=> and climbed 1 percent against the Swiss franc to 1.3302 francs <CHF=>.,1,0,can't correct
Late trading: Placing a buy order for a mutual fund after 4 p.m. ET and getting it at that day's closing net asset value.,Forward pricing: Law that states mutual fund shares bought after 4 p.m. ET are priced at the next day's closing net asset value.,Late trading: Placing a buy order for a mutual fund after 4 p.m. ET and getting it at that day's closing net asset value.,Forward pricing: Law that states mutual fund shares bought after 4 p.m. ET are priced at the next day's closing net asset value.,0,0,no need to correct
"""Fighting continued until midnight,"" western rebel commander Ousmane Coulibaly told Reuters by satellite phone on Sunday.","""They ransacked and burned the two villages completely,"" rebel commander Ousmane Coulibaly told Reuters by satellite phone from the bush.","""Fighting continued until midnight,"" western rebel commander Ousmane Coulibaly told Reuters by satellite phone on Sunday.","""They ransacked and burned the two villages completely,"" rebel commander Ousmane Coulibaly told Reuters by satellite phone from the bush.",0,0,no need to correct
"Tampa Bay manager Lou Piniella, bench coach John McLaren and right fielder Aubrey Huff were ejected for arguing after Huff was called out on strikes to end the ninth.","Tampa Bay manager Lou Piniella, bench coach John McLaren and Huff all were ejected in the middle of the ninth.","Tampa Bay manager Lou Piniella, bench coach John McLaren and right fielder Aubrey Huff were ejected for arguing after Huff was called out on strikes to end the ninth.","Tampa Bay manager Lou Piniella, bench coach John McLaren and Huff all were ejected in the middle of the ninth.",0,0,no need to correct
"The Standard & Poor's 500 index advanced 5.37, or 0.5 percent, to 1,020.18.","The Standard & Poor's paper products index .GSPPAPR was one of the leading sectors, up 2 percent.","The Standard & Poor's 500 index advanced 5.37, or 0.5 percent, to 1,020.18.","The Standard & Poor's paper products index .GSPPAPR was one of the leading sectors, up 2 percent.",0,0,no need to correct
Every day more American soldiers die.,We're losing one or two American soldiers every day.,Every day more American soldiers die.,We're losing one or two American soldiers every day.,1,0,can't correct
"A coalition of campaign groups, including the militant national students body, is backing the protests, which the NLC called in defiance of a court order banning them.","A coalition of campaign groups, including the militant national students body, is backing the action and is mobilising for protests.","A coalition of campaign groups, including the militant national students body, is backing the protests, which the NLC called in defiance of a court order banning them.","A coalition of campaign groups, including the militant national students body, is backing the action and is mobilising for protests.",0,0,no need to correct
"The Seattle band's groundbreaking grunge anthem is No. 1 on VH1's list of the ""100 Greatest Songs of the Past 25 Years.""",See the complete list of VH1's '100 Greatest Songs of the Past 25 Years.,"The Seattle band's groundbreaking grunge anthem is No. 1 on VH1's list of the ""100 Greatest Songs of the Past 25 Years.""",See the complete list of VH1's '100 Greatest Songs of the Past 25 Years.,0,0,no need to correct
"Drinking more coffee may reduce the risk of developing the most common form of diabetes, a study has found.","Drinking caffeinated coffee, you see, may significantly reduce your risk of type 2 diabetes, the most common form of the disease.","Drinking more coffee may reduce the risk of developing the most common form of diabetes, a study has found.","Drinking caffeinated coffee, you see, may significantly reduce your risk of type 2 diabetes, the most common form of the disease.",1,1,no need to correct
"In Britain, temperatures threatened to top the 37.1 C (98.8 F) all-time high.",Western and southwestern Germany were expected to see temperatures hit 38 C (100.4 F).,"In Britain, temperatures threatened to top the 37.1 C (98.8 F) all-time high.",Western and southwestern Germany were expected to see temperatures hit 38 C (100.4 F).,0,0,no need to correct
"A car and a house were hit in the latest shootings, said Chief Deputy Steve Martin of the Franklin County sheriff's office.","A car and a house were hit in the new shootings, the chief deputy sheriff of Franklin County, Steve Martin, said.","A car and a house were hit in the latest shootings, said Chief Deputy Steve Martin of the Franklin County sheriff's office.","A car and a house were hit in the new shootings, the chief deputy sheriff of Franklin County, Steve Martin, said.",1,1,no need to correct
"In a letter sent to The Times and read to the Associated Press after his resignation, Blair blamed ""personal issues"" and apologized for his ""lapse of journalistic integrity.""","In a letter sent to The New York Times after his resignation, Mr Blair blamed ""personal issues"" and apologised for his ""lapse of journalistic integrity"".","In a letter sent to The Times and read to the Associated Press after his resignation, Blair blamed ""personal issues"" and apologized for his ""lapse of journalistic integrity.""","In a letter sent to The New York Times after his resignation, Mr Blair blamed ""personal issues"" and apologised for his ""lapse of journalistic integrity"".",1,0,can't correct
"""September and third quarter data confirm that demand in the global semiconductor market is rising briskly,"" said George Scalise, president of the SIA.","""September and third-quarter data confirm that demand in the global semiconductor market is rising briskly,"" George Scalise, the SIA's president, said in the statement.","""September and third quarter data confirm that demand in the global semiconductor market is rising briskly,"" said George Scalise, president of the SIA.","""September and third quarter data confirm that demand in the global semiconductor market is rising briskly,"" George Scalise, the SIA's president, said in the statement.",1,1,corrected
"""September and third quarter data confirm that demand in the global semiconductor market is rising briskly,"" said George Scalise, president of the SIA.","""September and third-quarter data confirm that demand in the global semiconductor market is rising briskly,"" George Scalise, the SIA's president, said in the statement.","""September and third-quarter data confirm that demand in the global semiconductor market is rising briskly,"" said George Scalise, president of the SIA.","""September and third-quarter data confirm that demand in the global semiconductor market is rising briskly,"" George Scalise, the SIA's president, said in the statement.",1,1,corrected
No pill is ever expected to replace earplugs and other mechanical ear protection.,Nobody is saying such a pill could replace earplugs and other mechanical ear protection.,No pill is ever expected to replace earplugs and other mechanical ear protection.,Nobody is saying such a pill could replace earplugs and other mechanical ear protection.,1,1,no need to correct
"Wal-Mart, the nation's largest private employer, has expanded its antidiscrimination policy to protect gay and lesbian employees, company officials said Tuesday.","Wal-Mart Stores Inc., the nation's largest private employer, will now include gays and lesbians in its anti-discrimination policy, company officials said Wednesday.","Wal-Mart Stores Inc., the nation's largest private employer, has expanded its antidiscrimination policy to protect gay and lesbian employees, company officials said Tuesday.","Wal-Mart Stores Inc., the nation's largest private employer, will now include gays and lesbians in its anti-discrimination policy, company officials said Tuesday.",1,1,corrected
"Wal-Mart, the nation's largest private employer, has expanded its antidiscrimination policy to protect gay and lesbian employees, company officials said Tuesday.","Wal-Mart Stores Inc., the nation's largest private employer, will now include gays and lesbians in its anti-discrimination policy, company officials said Wednesday.","Wal-Mart, the nation's largest private employer, has expanded its antidiscrimination policy to protect gay and lesbian employees, company officials said Tuesday.","Wal-Mart, the nation's largest private employer, will now include gays and lesbians in its anti-discrimination policy, company officials said Tuesday.",1,1,corrected
"In after-hours trading, H-P shares rose 62 cents to $22.83 after adding 56 cents in the regular session.","In after-hours trading, Hewlett-Packard shares rose 55 cents, to $22.86, according to Instinet.","In after-hours trading, H-P shares rose 62 cents to $22.83 after adding 56 cents in the regular session.","In after-hours trading, Hewlett-Packard shares rose 55 cents, to $22.86, according to Instinet.",0,0,no need to correct
"Lower state courts and federal courts are still hearing recall several recall cases, one of which a Los Angeles court dismissed on Friday.","Lower state courts and federal courts are still hearing cases on the recall, but the prospects are uncertain.","Lower state courts and federal courts are still hearing recall several recall cases, one of which a Los Angeles court dismissed on Friday.","Lower state courts and federal courts are still hearing cases on the recall, but the prospects are uncertain.",0,0,no need to correct
"To reach John A. Dvorak, who covers Kansas, call (816) 234-7743 or send e-mail to jdvorak@kctar.com.","To reach Brad Cooper, Johnson County municipal reporter, call (816) 234-7724 or send e-mail to bcooper@kcstar.com.","To reach John A. Dvorak, who covers Kansas, call (816) 234-7743 or send e-mail to jdvorak@kctar.com.","To reach Brad Cooper, Johnson County municipal reporter, call (816) 234-7724 or send e-mail to bcooper@kcstar.com.",0,0,no need to correct
"He will be paid $395,000 per year, up from Atkinson's current salary of $361,400.","Dynes will be paid $395,000 a year; Atkinson's salary is $361,400.","He will be paid $395,000 per year, up from Atkinson's current salary of $361,400.","Dynes will be paid $395,000 a year; Atkinson's salary is $361,400.",1,0,can't correct
"He admits he occasionally lived the life of a playboy: smoking pot, chasing women and living fast and loose.","Schwarzenegger has admitted to occasionally living the life of a playboy: smoking pot, chasing women and living fast and loose.","He admits he occasionally lived the life of a playboy: smoking pot, chasing women and living fast and loose.","Schwarzenegger has admitted to occasionally living the life of a playboy: smoking pot, chasing women and living fast and loose.",1,0,can't correct
The case puts the Supreme Court back into the debate over the separation of church and state.,The case marks the court's second major separation of church and state case in two years.,The case puts the Supreme Court back into the debate over the separation of church and state.,The case marks the court's second major separation of church and state case in two years.,1,0,can't correct
"In 2001, the number of death row inmates nationally fell for the first time in a generation.","In 2001, the number of people on death row dropped for the first time in a decade.","In 2001, the number of death row inmates nationally fell for the first time in a generation.","In 2001, the number of people on death row dropped for the first time in a generation.",1,1,corrected
"In 2001, the number of death row inmates nationally fell for the first time in a generation.","In 2001, the number of people on death row dropped for the first time in a decade.","In 2001, the number of death row inmates nationally fell for the first time in a decade.","In 2001, the number of people on death row dropped for the first time in a decade.",1,1,corrected
"Metro, bus and local rail services in France's four largest towns -- Paris, Lyon, Lille and Marseille -- were severely disrupted, Europe 1 radio reported.","Subway, bus and suburban rail services in France's four largest cities -- Paris, Lyon, Lille and Marseille -- were severely disrupted, transport authorities said.","Metro, bus and local rail services in France's four largest towns -- Paris, Lyon, Lille and Marseille -- were severely disrupted, Europe 1 radio reported.","Subway, bus and suburban rail services in France's four largest cities -- Paris, Lyon, Lille and Marseille -- were severely disrupted, transport authorities said.",1,0,can't correct
"The contract also includes a $200,000 buyout.","Perkins also had a $200,000 buyout clause in his contract.","The contract also includes a $200,000 buyout.","Perkins also had a $200,000 buyout clause in his contract.",1,0,can't correct
Prosecutors contended that Mr. Durst had plotted the murder to assume Mr. Black's identity.,Prosecutors maintained that Durst murdered Black to try to assume Black's identity.,Prosecutors contended that Mr. Durst had plotted the murder to assume Mr. Black's identity.,Prosecutors maintained that Durst murdered Black to try to assume Black's identity.,1,1,no need to correct
"""The lives of American warfighters can be placed at direct risk through illegal transfer of military components,"" said Defense Department Inspector General Joseph Schmitz.","""The lives of American war-fighters can be placed at direct risk through illegal transfer of military components,"" Joseph Schmitz, Defence Department inspector general, said.","""The lives of American warfighters can be placed at direct risk through illegal transfer of military components,"" said Defense Department Inspector General Joseph Schmitz.","""The lives of American war-fighters can be placed at direct risk through illegal transfer of military components,"" Joseph Schmitz, Defense Department inspector general, said.",1,1,corrected
"""The lives of American warfighters can be placed at direct risk through illegal transfer of military components,"" said Defense Department Inspector General Joseph Schmitz.","""The lives of American war-fighters can be placed at direct risk through illegal transfer of military components,"" Joseph Schmitz, Defence Department inspector general, said.","""The lives of American warfighters can be placed at direct risk through illegal transfer of military components,"" said Defence Department Inspector General Joseph Schmitz.","""The lives of American war-fighters can be placed at direct risk through illegal transfer of military components,"" Joseph Schmitz, Defence Department inspector general, said.",1,1,corrected
"In the undergraduate case, Rehnquist said the use of race was not ""narrowly tailored"" to achieve the university's asserted interest in diversity.",Rehnquist wrote that the system was not narrowly tailored to achieve the interest in educational diversity.,"In the undergraduate case, Rehnquist said the use of race was not ""narrowly tailored"" to achieve the university's asserted interest in diversity.",Rehnquist wrote that the system was not narrowly tailored to achieve the interest in educational diversity.,1,1,no need to correct
"Thirty-eight percent of patients surveyed in five urban clinics believed the myth that cancer spreads when exposed to air during surgery, according to a poll to be published Tuesday.","Thirty-eight percent of cancer patients in five urban clinics believed the myth that the disease spreads when exposed to air during surgery, according to a survey.","Thirty-eight percent of patients surveyed in five urban clinics believed the myth that cancer spreads when exposed to air during surgery, according to a poll to be published Tuesday.","Thirty-eight percent of cancer patients in five urban clinics believed the myth that the disease spreads when exposed to air during surgery, according to a survey.",1,0,can't correct
"For the first quarter, HP pulled in $2.94 billion and captured 27.9 percent of the market.",H-P came in second with nearly $3.32 billion in sales and 26 percent of the market's revenue.,"For the first quarter, HP pulled in $2.94 billion and captured 27.9 percent of the market.",H-P came in second with nearly $3.32 billion in sales and 26 percent of the market's revenue.,1,0,can't correct
"Still, Mauresmo has the confidence of having beaten Serena for the first time and also is buoyed by Venus Williams' upset loss Sunday to Vera Zvonareva.",She has the confidence of having beaten her for the first time and she is buoyed by Venus Williams' upset loss of two days ago.,"Still, Mauresmo has the confidence of having beaten Serena for the first time and also is buoyed by Venus Williams' upset loss Sunday to Vera Zvonareva.",She has the confidence of having beaten her for the first time and she is buoyed by Venus Williams' upset loss of two days ago.,1,0,can't correct
"The latest attack came just two days after three suicide bombers drove a truck loaded with explosives into a government office complex in northern Chechnya, killing 59 people.","The attacks came two days after suicide bombers detonated a truck bomb in a Government compound in northern Chechnya, killing 59.","The latest attack came just two days after three suicide bombers drove a truck loaded with explosives into a government office complex in northern Chechnya, killing 59 people.","The attacks came two days after suicide bombers detonated a truck bomb in a Government compound in northern Chechnya, killing 59.",1,0,can't correct
"""I reliably receive reminders when my dog needs a vaccination,"" writes Steinberg, of Johns Hopkins University.","""I reliably receive reminders when my dog needs a vaccination and when my car is due for maintenance,"" he said.","""I reliably receive reminders when my dog needs a vaccination,"" writes Steinberg, of Johns Hopkins University.","""I reliably receive reminders when my dog needs a vaccination and when my car is due for maintenance,"" he said.",0,0,no need to correct
"In early afternoon trading, the Dow Jones industrial average was down 18.42, or 0.2 percent, at 8,569.94.","Since sinking to 2003 lows in early March, the Dow Jones industrial average has rallied 13.8%.","In early afternoon trading, the Dow Jones industrial average was down 18.42, or 0.2 percent, at 8,569.94.","Since sinking to 2003 lows in early March, the Dow Jones industrial average has rallied 13.8%.",0,0,no need to correct
The legislation opens the way for police and other personnel to be deployed to the Solomons and to carry out law enforcement functions.,"""Once the legislation enters into force, it opens the way for police and other personnel to be deployed to Solomon Islands and to carry out law-enforcement functions.",The legislation opens the way for police and other personnel to be deployed to the Solomons and to carry out law enforcement functions.,"""Once the legislation enters into force, it opens the way for police and other personnel to be deployed to Solomon Islands and to carry out law-enforcement functions.",1,0,can't correct
"Falls in euro/yen also pushed down the dollar against the yen, with the pair at 118.32 yen compared with Friday's late New York level of 118.51.","Against the Japanese currency, the euro was at 136.06 yen compared with the late New York level of 136.03/14.","Falls in euro/yen also pushed down the dollar against the yen, with the pair at 118.32 yen compared with Friday's late New York level of 118.51.","Against the Japanese currency, the euro was at 136.06 yen compared with the late New York level of 136.03/14.",0,0,no need to correct
Wells Fargo and Quicken Loans couldn't be reached for comment Wednesday afternoon.,"Wells Fargo was not available for comment, and a Quicken Loans spokeswoman declined immediate comment.",Wells Fargo and Quicken Loans couldn't be reached for comment Wednesday afternoon.,"Wells Fargo was not available for comment, and a Quicken Loans spokeswoman declined immediate comment.",0,0,no need to correct
The FBI is trying to determine when White House officials and members of the vice president's staff first focused on Wilson and learned about his wife's employment at the CIA.,The FBI is trying to determine when White House officials and members of the vice president’s staff first focused on Wilson and learned about his wife’s employment at the agency.,The FBI is trying to determine when White House officials and members of the vice president's staff first focused on Wilson and learned about his wife's employment at the CIA.,The FBI is trying to determine when White House officials and members of the vice president’s staff first focused on Wilson and learned about his wife’s employment at the agency.,1,0,can't correct
"Mr Neil said that according to the source, the report will say its inspectors have not even unearthed ""minute amounts of nuclear, chemical or biological weapons material"".","According to the BBC, the group's interim report will say its inspectors have not even unearthed ""minute amounts of nuclear, chemical or biological weapons material"".","Mr Neil said that according to the source, the report will say its inspectors have not even unearthed ""minute amounts of nuclear, chemical or biological weapons material"".","According to the BBC, the group's interim report will say its inspectors have not even unearthed ""minute amounts of nuclear, chemical or biological weapons material"".",1,0,can't correct
"Marjorie Scardino, the chief executive, said: ""We have one headline.","Pearson, led by Marjorie Scardino, the chief executive, publishes its interim results this week.","Marjorie Scardino, the chief executive, said: ""We have one headline.","Pearson, led by Marjorie Scardino, the chief executive, publishes its interim results this week.",0,0,no need to correct
Randall Simon singled to right for the second run.,Randall Simon followed with an RBI single to right.,Randall Simon singled to right for the second run.,Randall Simon followed with an RBI single to right.,1,0,can't correct
"She was physically ill several times on the day he died, she said.","""In fact, I was physically sick several times at this stage, because he looked so desperate,"" she said.","She was physically ill several times on the day he died, she said.","""In fact, I was physically sick several times at this stage, because he looked so desperate,"" she said.",0,0,no need to correct
"No legislative action is final without concurrence of the House, and it appeared the measure faced a tougher road there.","No legislative action is final without concurrence of the House, and few were predicting what fate the bill would meet there.","No legislative action is final without concurrence of the House, and it appeared the measure faced a tougher road there.","No legislative action is final without concurrence of the House, and few were predicting what fate the bill would meet there.",1,1,no need to correct
"This is a case about a woman who for 20 years dedicated her life to this country,"" said Janet Levine.","""This case is about a woman who for over 20 years dedicated herself to this country,"" Levine said.","This is a case about a woman who for over 20 years dedicated her life to this country,"" said Levine.","""This case is about a woman who for over 20 years dedicated herself to this country,"" Levine said.",1,1,corrected
"This is a case about a woman who for 20 years dedicated her life to this country,"" said Janet Levine.","""This case is about a woman who for over 20 years dedicated herself to this country,"" Levine said.","This is a case about a woman who for 20 years dedicated her life to this country,"" said Levine.","""This case is about a woman who for 20 years dedicated herself to this country,"" Levine said.",1,1,corrected
"SP2 is basically about security enhancements to Windows, such as the improved Internet Connection Firewall (ICF).",The firewall in the current Windows XP was known as the Internet Connection Firewall (ICF).,"SP2 is basically about security enhancements to Windows, such as the improved Internet Connection Firewall (ICF).",The firewall in the current Windows XP was known as the Internet Connection Firewall (ICF).,0,0,no need to correct
"""In Iraq,"" Sen. Pat Roberts, R-Kan., chairman of the intelligence committee, said on CNN's ""Late Edition"" Sunday, ""we're now fighting an anti-guerrilla ... effort.""","""In Iraq,"" Sen. Pat Roberts (R-Kan.), chairman of the intelligence committee, said on CNN's ""Late Edition"" yesterday, ""we're now fighting an anti-guerrilla . . . effort.""","""In Iraq,"" Sen. Pat Roberts, R-Kan., chairman of the intelligence committee, said on CNN's ""Late Edition"" Sunday, ""we're now fighting an anti-guerrilla ... effort.""","""In Iraq,"" Sen. Pat Roberts (R-Kan.), chairman of the intelligence committee, said on CNN's ""Late Edition"" yesterday, ""we're now fighting an anti-guerrilla . . . effort.""",1,1,no need to correct
The yield on the benchmark 10-year Treasury note rose as high as 4.66 percent Aug. 14 from 3.07 percent in June.,The yield on the 10-year Treasury note rose to 4.46% from 4.42% late Thursday.,The yield on the benchmark 10-year Treasury note rose as high as 4.66 percent Aug. 14 from 3.07 percent in June.,The yield on the 10-year Treasury note rose to 4.46% from 4.42% late Thursday.,1,0,can't correct
"The farmers market reopened Saturday; at least 11 people remained hospitalized, three in critical condition.","At least 11 people remained hospitalized Saturday, three of them in critical condition.","The farmers market reopened Saturday; at least 11 people remained hospitalized, three in critical condition.","At least 11 people remained hospitalized Saturday, three of them in critical condition.",0,0,no need to correct
"A landslide in central Chungchong province derailed a Seoul-bound train and 28 passengers were injured, television said.","In central Chungchong province, a landslide caused a Seoul-bound Saemaeul Express train to derail, injuring 28 people, local television said.","A landslide in central Chungchong province derailed a Seoul-bound train and 28 passengers were injured, television said.","In central Chungchong province, a landslide caused a Seoul-bound Saemaeul Express train to derail, injuring 28 people, local television said.",1,0,can't correct
A Trillian representative did not return an e-mail requesting comment.,The representative did not return calls seeking additional comment.,A Trillian representative did not return an e-mail requesting comment.,The representative did not return calls seeking additional comment.,1,0,can't correct
"State health officials have reported 18 suspected cases in Wisconsin, 10 in Indiana and five in Illinois.","As of yesterday afternoon, 22 suspected cases had been reported in Wisconsin, 10 in Indiana and five in Illinois.","State health officials have reported 18 suspected cases in Wisconsin, 10 in Indiana and five in Illinois.","As of yesterday afternoon, 22 suspected cases had been reported in Wisconsin, 10 in Indiana and five in Illinois.",1,0,can't correct
No charges have been filed in the deaths of the other victims; Lupas said authorities were making progress in the case.,"No charges have been filed in those deaths, but prosecutor David Lupas said authorities were making progress in the case.",No charges have been filed in the deaths of the other victims; David Lupas said authorities were making progress in the case.,"No charges have been filed in those deaths, but prosecutor David Lupas said authorities were making progress in the case.",1,1,corrected
No charges have been filed in the deaths of the other victims; Lupas said authorities were making progress in the case.,"No charges have been filed in those deaths, but prosecutor David Lupas said authorities were making progress in the case.",No charges have been filed in the deaths of the other victims; Lupas said authorities were making progress in the case.,"No charges have been filed in those deaths, but prosecutor Lupas said authorities were making progress in the case.",1,1,corrected
"The head of the panel -- Tillie Fowler, a former US representative from Florida -- told present and past commanders that cadets don't trust them.","The head of the panel, former Rep. Tillie Fowler of Florida, told present and past commanders that cadets don't trust them.","The head of the panel -- Tillie Fowler, a former US representative from Florida -- told present and past commanders that cadets don't trust them.","The head of the panel, former Rep. Tillie Fowler of Florida, told present and past commanders that cadets don't trust them.",1,0,can't correct
They will help draft a plan to attack obesity that Kraft will implement over three to four years.,The team will help draft a plan by the end of the year to attack obesity.,They will help draft a plan to attack obesity that Kraft will implement over three to four years.,The team will help draft a plan by the end of the year to attack obesity.,0,0,no need to correct
"Cable high-speed lines increased 32.2 percent to 243,143.","For the full year, high-speed ADSL increased by 64 percent.","Cable high-speed lines increased 32.2 percent to 243,143.","For the full year, high-speed ADSL increased by 64 percent.",0,0,no need to correct
"""It's unfortunate that Senator Clinton would seek to politicize such a qualified nominee as Governor Leavitt,"" said Taylor Gross, a White House spokesman.","""It is unfortunate that Senator Clinton would seek to politicize such a qualified nominee as Governor Leavitt.","""It's unfortunate that Senator Clinton would seek to politicize such a qualified nominee as Governor Leavitt,"" said Taylor Gross, a White House spokesman.","""It is unfortunate that Senator Clinton would seek to politicize such a qualified nominee as Governor Leavitt.",1,0,can't correct
"The girl turned up two days later at a convenience store several cities away, shaken but safe, and helped lead police to her alleged abductor.",The arrest came hours after the girl turned up at a convenience store several cities away and helped lead police to her alleged abductor.,"The girl turned up two days later at a convenience store several cities away, shaken but safe, and helped lead police to her alleged abductor.",The arrest came hours after the girl turned up at a convenience store several cities away and helped lead police to her alleged abductor.,1,0,can't correct
"Ride, astronauts Story Musgrave, Robert ""Hoot"" Gibson and Daniel Brandenstein will enter the hall of fame together.","Ride will be enshrined along with astronauts Story Musgrave, Robert ""Hoot"" Gibson and Daniel Brandenstein.","Ride, astronauts Story Musgrave, Robert ""Hoot"" Gibson and Daniel Brandenstein will enter the hall of fame together.","Ride will be enshrined along with astronauts Story Musgrave, Robert ""Hoot"" Gibson and Daniel Brandenstein.",1,0,can't correct
"But that amount would probably be impossible to pass in the Senate, where Republican moderates have refused to go above $350 billion.","Such an amount would probably be unable to summon a majority of the Senate, where Republican moderates have refused to go above $350 billion.","But that amount would probably be impossible to pass in the Senate, where Republican moderates have refused to go above $350 billion.","Such an amount would probably be unable to summon a majority of the Senate, where Republican moderates have refused to go above $350 billion.",1,1,no need to correct
"They varied greatly, ranging from one per cent or two per cent to 36 per cent for a speciality US brand called American Spirit.",The results ranged from 1 per cent or 2 per cent to 36 per cent for a speciality brand called American Spirit.,"They varied greatly, ranging from one per cent or two per cent to 36 per cent for a speciality US brand called American Spirit.",The results ranged from 1 per cent or 2 per cent to 36 per cent for a speciality brand called American Spirit.,1,0,can't correct
The board is investigating whether a shortage of funds in the shuttle program compromised safety.,The board is investigating whether this compromised safety on the shuttle.,The board is investigating whether a shortage of funds in the shuttle program compromised safety.,The board is investigating whether this compromised safety on the shuttle.,1,1,no need to correct
"The island nation reported 65 new cases on May 22, a one day record, and 55 new cases on May 23, making Taiwan's epidemic the fastest-growing in the world.","Taiwan reported 65 new cases on May 22, a one-day record, and 55 new cases on May 23, making its epidemic the world's fastest-growing.","The island nation reported 65 new cases on May 22, a one day record, and 55 new cases on May 23, making Taiwan's epidemic the fastest-growing in the world.","Taiwan reported 65 new cases on May 22, a one day record, and 55 new cases on May 23, making its epidemic the world's fastest-growing.",1,1,corrected
"The island nation reported 65 new cases on May 22, a one day record, and 55 new cases on May 23, making Taiwan's epidemic the fastest-growing in the world.","Taiwan reported 65 new cases on May 22, a one-day record, and 55 new cases on May 23, making its epidemic the world's fastest-growing.","The island nation reported 65 new cases on May 22, a one-day record, and 55 new cases on May 23, making Taiwan's epidemic the fastest-growing in the world.","Taiwan reported 65 new cases on May 22, a one-day record, and 55 new cases on May 23, making its epidemic the world's fastest-growing.",1,1,corrected
"A year earlier, it posted a profit of $102 million, or 13 cents a share.","That was more than double the $102 million, or 13 cents a share, for the year-earlier quarter.","A year earlier, it posted a profit of $102 million, or 13 cents a share.","That was more than double the $102 million, or 13 cents a share, for the year-earlier quarter.",0,0,no need to correct
British-born astronaut Michael Foale is about to fly into space to take up his post as commander of the International Space Station.,British-born astronaut Michael Foale is on his way to take command of the international space station.,British-born astronaut Michael Foale is about to fly into space to take up his post as commander of the International Space Station.,British-born astronaut Michael Foale is on his way to take command of the international space station.,1,0,can't correct
"In the clash with police, Lt. Mothana Ali said about 1,000 demonstrators had gone to the station demanding jobs.","In Baghdad, police Lieut. Mothana Ali said about 1,000 demonstrators arrived at the station demanding jobs.","In the clash with police, Lt. Mothana Ali said about 1,000 demonstrators had gone to the station demanding jobs.","In Baghdad, police Lieut. Mothana Ali said about 1,000 demonstrators arrived at the station demanding jobs.",1,0,can't correct
Clark said the program would cost about $100 million a year and would be part of the Department of Homeland Security.,"Clark, one of nine Democrats seeking the nomination, said the program would cost about $100 million a year and would be within the Department of Homeland Security.",Clark said the program would cost about $100 million a year and would be part of the Department of Homeland Security.,"Clark, one of nine Democrats seeking the nomination, said the program would cost about $100 million a year and would be within the Department of Homeland Security.",1,0,can't correct
"Ximian brings Novell unparalleled expertise, strengthening our ability to work with [our] customers and leverage open source initiatives more constructively.""","""Ximian brings Novell unparalleled Linux expertise . . . [and strengthens] our ability to work with and leverage open source initiatives more constructively.""","Ximian brings Novell unparalleled expertise, strengthening our ability to work with [our] customers and leverage open source initiatives more constructively.""","""Ximian brings Novell unparalleled Linux expertise . . . [and strengthens] our ability to work with and leverage open source initiatives more constructively.""",1,1,no need to correct
Video replays suggested the ball had hit the ground before making contact with Sangakkara's foot.,"Television replays, though, showed the ball had touched the ground before Sangakkara's boot (262 for 4).",Video replays suggested the ball had hit the ground before making contact with Sangakkara's foot.,"Television replays, though, showed the ball had touched the ground before Sangakkara's boot (262 for 4).",1,0,can't correct
"The GPO previously closed bookstores in San Francisco, Boston, Philadelphia, Chicago, Birmingham, Cleveland, and Columbus.","Since 2001, the agency has closed bookstores in San Francisco, Boston, Philadelphia, Chicago, Birmingham, Ala., Cleveland, Columbus, Ohio, and Washington.","The GPO previously closed bookstores in San Francisco, Boston, Philadelphia, Chicago, Birmingham, Cleveland, and Columbus.","Since 2001, the agency has closed bookstores in San Francisco, Boston, Philadelphia, Chicago, Birmingham, Ala., Cleveland, Columbus, Ohio, and Washington.",1,0,can't correct
Peterson is charged with two counts of murder in the deaths of his wife and unborn son.,"Peterson, 30, is awaiting trial on two counts of murder for the deaths of his wife, Laci, and their unborn son.",Peterson is charged with two counts of murder in the deaths of his wife and unborn son.,"Peterson, 30, is awaiting trial on two counts of murder for the deaths of his wife, Laci, and their unborn son.",1,0,can't correct
"A second victim, Michael Walker, 23, was struck in the torso, the bullet perforating his lung.","The other victim, Michael Walker, of 550 Barbey Street, was struck in the neck.","A second victim, Michael Walker, 23, was struck in the torso, the bullet perforating his lung.","The other victim, Michael Walker, of 550 Barbey Street, was struck in the neck.",0,0,no need to correct
